cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
10,1.334246,0.507777778,0.369444444,0.47939068,0.42293906,0.155502898,1.825591849
20,0.5748773,0.480769231,0.384615385,0.29411766,0.11764706,0.121028433,0.450730526
40,1.294387,0.476744186,0.546511628,0.36666667,0.30000001,0.19540888,1.818391404
51,1.315032,0.5,0.578125,0.44999999,0.30000001,0.189169816,2.057658812
52,1.26628,0.45,0.483333333,0.29411766,0.23529412,0.164175282,1.262269745
60,0,0.554084794,0.550491237,0,0,0.204906897,0.248631912
101,0.7398278,0.391304348,0.5,0.42058489,0.42058489,0.08705142,1.280943754
102,0,0.400162338,0.404220779,0,0,0.062723131,-0.846850974
110,1.059853,0.53030303,0.560606061,0.55882353,0.52941179,0.151893514,2.481118175
120,1.44577236,0.485055231,0.454130697,0.435539743,0.229833132,0.148803354,1.521744972
135,1.298235,0.513157895,0.460526316,0.41666666,0.27083334,0.141306312,1.547659085
136,1.320417,0.48,0.45,0.38461539,0.38461539,0.137041787,1.62574684
137,1.284423,0.5,0.477272727,0.5,0.41666666,0.192928134,2.169227889
140,0.5086878,0.405718702,0.329603906,0.22676244,0.19529626,0.122058975,0.210648765
150,1.423426,0.585714286,0.471428571,0.41666666,0.41666666,0.105495378,1.913313945
160,0.888989797,0.486525974,0.472970779,0.42414003,0.390874119,0.206262034,1.839452656
205,-0.144368331,0.367346939,0.244897959,0.083333296,0.083333296,0.096119048,-0.862630198
220,1.029139,0.444444444,0.4,0.18000001,0.14,0.14500596,0.530061396
230,1.150360998,0.431039182,0.468797892,0.359002452,0.259639129,0.124194827,1.167728662
300,0.8370105,0.442610837,0.330788177,0.51190478,0.34711778,0.171991889,1.390623275
310,-0.1213112,0.416666667,0.395833333,0.19642857,0.14285715,0.100191009,-0.124384265
325,0.3719018,0.428571429,0.535714286,0.27272728,0.25,0.166195767,0.964677475
335,0.09279365,0.377605205,0.393862821,0.011769501,0.011769501,0.264484437,-0.103564108
340,0.4021726,0.456521739,0.380434783,0.22916667,0.20833333,0.208401975,0.705561983
350,1.260259,0.428571429,0.371428571,0.30555555,0.27777779,0.16328909,1.091734123
360,1.327906,0.530696798,0.486532543,0.43073595,0.4025974,0.117521575,1.843286944
400,0.8233757,0.523809524,0.452380952,0.42307693,0.23076923,0.109145181,1.174752652
410,1.215396,0.443181818,0.431818182,0.35185185,0.2037037,0.139337876,1.073275462
420,1.156153,0.392857143,0.446428571,0.375,0.25,0.155815195,1.176105145
425,1.030768,0.422222222,0.6,0.52173913,0.52173913,0.200344932,2.443231524
426,0.95548101,0.452122153,0.325310559,0.417035546,0.393876407,0.152001607,1.299574162
440,0.964510916,0.491267364,0.465491024,0.420976798,0.397598791,0.14577887,1.654042085
500,1.068559,0.543478261,0.369565217,0.53571427,0.42857143,0.268875986,2.300953013
540,1.258819188,0.519501934,0.490249033,0.494663328,0.393791313,0.208664632,2.223841315
565,0.6979598,0.526304275,0.52653678,0.391452541,0.260410072,0.200340392,1.610491575
600,1.367669,0.5,0.480769231,0.42857143,0.39285713,0.254736053,2.26077832
630,1.357642943,0.637839983,0.57907799,0.451785894,0.356123731,0.191898197,2.456110636
640,1.440985,0.473684211,0.473684211,0.60416669,0.375,0.167153233,2.184138723
650,1.198409,0.552631579,0.592105263,0.47499999,0.44999999,0.241747642,2.663735294
700,1.297303,0.527860532,0.596566459,0.46713912,0.41283804,0.162317386,2.294915401
705,0,0.55,0.4,0,0,0.182398042,-0.147136807
710,1.432417,0.404761905,0.5,0.45454547,0.45454547,0.352892304,2.66865873
725,0.3740207,0.486486486,0.364864865,0.45238096,0.38095239,0.146507933,1.224443088
726,1.242567,0.519230769,0.490384615,0.375,0.3392857,0.12519433,1.601055409
735,1.424948046,0.524590164,0.542559899,0.492430415,0.409202732,0.349733702,2.940881781
750,1.045440797,0.582840766,0.537989934,0.537535158,0.513519657,0.223471006,2.71546351
800,1.481955094,0.56,0.52,0.499999694,0.433333075,0.203248095,2.518030387
820,1.502988,0.52,0.64,0.42307693,0.42307693,0.234085849,2.653636118
830,1.345268,0.555555556,0.555555556,0.63636363,0.40909091,0.161632336,2.567839121
845,0,0.461538462,0.5,0,0,0.278354753,0.237527731
850,1.400749,0.5,0.671052632,0.47619048,0.35714287,0.355225349,3.036880167
860,1.326652,0.571428571,0.5,0.5,0.5,0.160955176,2.414259171
900,0.804721789,0.51575605,0.579338496,0.248149888,0.217131152,0.189058176,1.366303847
910,1.385568455,0.593916546,0.651737213,0.431501964,0.385912888,0.250730381,2.768711565
930,1.36682,0.580645161,0.677419355,0.44,0.18000001,0.339925027,2.719815369
940,1.29371,0.625,0.625,0.58333331,0.58333331,0.311601502,3.606120106
960,1.360871055,0.583230958,0.592444717,0.503756226,0.454296729,0.2494183,2.873525106
1005,1.154269,0.634615385,0.5,0.60000002,0.60000002,0.169258972,2.86243934
