year_new,group,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,employment_9,employment_10,employment_11,employment_12,employment_13,employment_NA,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_NA
2003,all_16plus,506376.84265327454,136417.23354085285,2236044.3693319955,4293910.045645396,5010476.618471782,1346560.3460006714,887267.9085817337,2359422.493382772,3366698.7503782907,4586897.9838689165,2758746.910389582,1647008.3220767975,19660212.469275158,88017867.29556656,4092,1176,14872,26488,32197,8451,5463,14551,21144,29125,18477,10322,129104,999862
2004,all_16plus,2187288.0289325714,510437.6279665629,9808109.39139239,16682977.573982239,20800876.23375829,5455049.206174214,3454423.525896708,9633131.320866266,13498231.738897959,18195654.123082478,11162253.34005928,6853214.392176628,19733824.37694359,0,17277,4207,61765,100324,129531,33064,20688,58532,82690,114038,73297,42732,126101,432585
2005,all_16plus,2155661.0580711365,565184.4939009348,10352722.963804245,16322442.785296122,20870156.323248226,5587625.213039398,3211984.941550573,9819100.701379776,13807236.415960312,18548974.543928463,11438791.478568396,6866128.4075574875,20167693.505366642,0,17010,4372,63185,96119,127578,32774,18818,57813,80569,113573,72804,41525,125862,429486
2006,all_16plus,2149943.5030142465,633138.7904090881,10923768.776014328,16281642.876440683,21329662.7555027,5844574.954523087,3267619.0786336265,10013226.699086508,13980428.5839475,19056216.329221725,11606293.549051603,7023298.702430089,20345480.480476696,0,16737,4825,65074,92911,126543,33648,18789,58053,81410,113768,72674,41223,125076,425233
2007,all_16plus,2174740.4142951965,702687.4307047526,11448136.645763397,16163496.775553385,21108267.23924001,6004108.999071757,3440519.2862434387,10259014.743339539,14680580.432357788,19647113.082603455,11880918.301485697,6965697.398618062,20604249.49815877,0,16339,5405,67065,90205,122193,33680,18993,58215,84145,114796,72027,40259,123751,420853
2008,all_16plus,2033071.2627487183,729881.0018501282,11229720.06586965,16156526.892470041,20808860.27915446,6192766.904725392,3301149.281009674,10179546.879297892,15314689.759695688,19978229.526671093,12070472.564081827,6955588.741858165,21111640.798310596,0,15268,5369,64697,89573,118988,33907,18171,56843,85648,115306,71727,39137,124752,422494
2009,all_16plus,2090996.4273262024,830128.9942537944,10206678.86579895,15377588.885780334,20248752.310108185,6115173.728856404,3244264.1310539246,9903200.05729548,14980538.884854635,20600726.937639873,12339785.404399872,6968601.883865356,21298433.89544042,0,15527,6031,61347,86743,117155,33806,18034,55786,85046,117989,73778,39634,124693,424038
2010,all_16plus,2081974.6894607544,680797.6311429342,9024427.74901835,13869729.70744578,19505065.828990936,5659128.485627492,2999624.1107165017,9355561.348920187,14653523.56396993,21020930.75673167,12202290.687749228,6854105.175725301,21272007.573173523,0,15756,5430,59041,83932,116404,33019,17787,54238,86517,123043,75313,39673,126519,440202
2011,all_16plus,2169085.1339060464,738632.2477060953,8584168.595207214,14128296.339200338,19670711.363441467,5699017.931209564,2982435.9820721946,9068066.141597748,14947564.190876007,21435334.843573254,12200816.416511536,6717788.354352315,20943591.50668208,0,15755,5464,55223,81933,115287,32620,17051,52360,86672,125066,74383,39033,124776,447760
2012,all_16plus,2185768.341632843,847393.7209218343,8644153.71576182,14320957.818611145,19625621.571763355,5823291.286554973,2898998.9144210815,9252077.620268503,15589563.339383444,21600928.61346181,12383459.76694107,6814685.343208313,20497870.32977168,0,15857,6205,52681,80078,111963,32367,16315,51651,87759,123598,72611,38978,120895,452284
