year_new,group,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,employment_9,employment_10,employment_11,employment_NA,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_NA
2003,all_16plus,5005605.896231969,7031553.064484914,5373727.9517024355,3949964.828853607,4912432.247472127,227167.95058695474,1863938.405986786,1255238.0781402588,2411310.860373815,2062675.7139193218,0,102720292.59141159,32072,43886,34963,24910,31469,1717,12790,7961,15416,13337,36,1096767
2004,all_16plus,19946582.13205306,28078989.331741333,22128735.968514126,16005265.85790507,19431277.715935707,1041129.1698830923,8245220.7186762495,5059410.412561417,9688956.947235426,8349902.625623703,0,0,124479,172112,141621,99587,122269,7548,52877,31326,59754,52491,182,432585
2005,all_16plus,20231230.780834835,28344425.38506031,22889398.14248371,16040701.716568312,19493748.479853313,981876.3349405924,8663314.529974619,5094288.514330546,9418692.826380411,8556026.121245066,0,0,122673,170251,142008,97411,119444,7218,53820,30706,56774,51527,170,429486
2006,all_16plus,20720217.09921773,28873996.63919862,23274657.012562115,16493467.251947403,19558020.54146226,981973.7277768453,9291204.212214788,5226934.031983693,9382199.79984506,8652624.76254336,0,0,123683,170476,142156,97674,116966,7055,56078,30313,55045,51094,191,425233
2007,all_16plus,21348389.174550373,29496608.206676483,23917001.48853429,16756208.489533743,19507804.012950897,974380.6065724691,9581098.462844849,5333374.452935536,9311875.926664988,8852789.426171621,0,0,124889,170596,142180,96221,114588,6737,56725,30222,53759,51017,139,420853
2008,all_16plus,21617420.692391712,30331036.13577525,24181253.482381184,16585481.379561106,19544797.638577778,964946.2592213949,9352596.029768625,5240568.1969566345,9408024.059866587,8836020.083243052,0,0,123995,173162,141230,94395,112856,6695,54578,29024,53200,50125,126,422494
2009,all_16plus,22071127.84742737,30652989.016774494,24576351.551356,16094218.682106018,18972091.330745697,959114.659837087,8342501.23839442,5164794.160929362,8623058.954134623,8748622.964968363,0,0,127195,175044,142478,92281,109974,6667,51726,29122,50398,50530,154,424038
2010,all_16plus,21404288.710099537,30793288.154921215,24605824.524903614,15525872.141590118,18047956.661547344,929863.9737383524,7319683.200004578,4870523.084354401,7558384.674701691,8123482.182811737,0,0,126792,179324,147374,92005,108520,6758,48935,28824,48261,49671,208,440202
2011,all_16plus,20936768.076222736,30879113.778338116,24616158.19701131,15394682.507516226,18041147.995816547,1002730.3101209005,7140457.306933085,4919503.718968709,8128961.69678243,8225985.458625793,0,0,122984,177199,147808,89617,107620,7011,46934,28652,48899,48672,227,447760
2012,all_16plus,21791666.608283997,30921440.806397755,25024036.54295985,15405071.643989563,17724655.985541027,996116.5658836365,7140336.067807515,4862125.079125722,8225728.522139232,8393592.560573578,0,0,124913,175342,145337,87064,103762,6867,44490,27337,47365,48249,232,452284
2013,all_16plus,22773743.644322712,31507258.092845917,25610143.467478435,15369758.299940744,17742892.319179535,985306.57373046875,6996707.666637421,4858984.972332001,8421518.121634165,8577688.588247934,0,0,128106,176447,143809,84903,100388,6573,42515,26723,47252,48518,209,453251
2014,all_16plus,22781549.514086407,32154439.379749298,25935415.785062153,15628837.700569153,17713356.452650707,985727.3464419048,7249876.77104187,4951146.0880355835,8278653.315288544,8767913.767309824,0,0,126623,175773,142018,84486,97976,6393,41711,26273,45372,47767,245,457687
2015,all_16plus,23388112.195676167,33135658.70418326,25846009.36095683,15659182.589283943,17805970.41526413,1043471.3190231323,7645588.149193446,4903296.655036926,8517089.548892975,9073897.72927475,0,0,126794,178125,139924,83187,96817,6739,43118,26157,45554,48391,170,468566
2016,all_16plus,24402608.479328793,34009616.35701561,26084325.45698611,15753846.275221506,17833021.943490345,1073347.2701625824,7706329.962183635,4989728.8700790405,8517441.24355189,9174116.518400827,0,0,125742,174191,135110,79933,92625,6699,41491,25870,43443,47154,145,467310
2017,all_16plus,24993258.38320796,34698162.6720225,26913546.15789032,15872532.120665232,17662824.209140778,1126614.1309432983,7933889.275018056,4925830.793617249,8398805.51288096,9319906.249368032,0,0,127295,176824,137161,79988,90627,6802,42297,25128,42802,47268,129,469487
2018,all_16plus,25478392.107699078,35888430.06466929,26815285.5292867,15729366.972909292,17736733.39933777,1181732.152990977,8159994.094454448,4944541.733829498,8523401.267495474,9494470.60013326,0,0,125888,175398,131238,76363,87542,6835,41124,24393,41405,46264,82,460748
2019,all_16plus,26081952.487058003,36668154.07062658,26860013.507212322,15772578.42444992,17711552.901412964,1136787.370803833,8407761.89569219,4932636.219730377,8644558.700262705,9998751.13455073,0,0,123584,171654,125585,73600,83736,6342,39773,23203,40517,45756,90,445003
2020,all_16plus,27230060.767944336,37387505.25684229,26950612.978126526,15510335.442473093,17380453.730824787,1154534.1437886555,8248157.2721379595,4920372.752560933,8460524.724319458,10512671.855150858,0,0,122329,166685,118981,69232,78643,5964,37276,22196,38157,45921,90,429826
2021,all_16plus,27017899.27951177,36191995.75412623,22096773.60232417,14073602.284828186,15482472.292705536,1020583.4085973104,7603963.4469566345,4545534.5670000715,7474900.938849132,10472091.396055857,0,0,112688,148706,98277,59226,66053,5059,32539,19471,31783,44528,74,405977
2022,all_16plus,28193001.627985638,37303391.26855723,24899003.293394726,14399531.115210215,15960166.905918121,1045026.2340431213,8204359.45102946,4899863.668560028,8014988.784713745,11517055.58725357,0,0,112860,147704,99894,57431,64309,4978,33253,19656,32387,45905,86,403815
2023,all_16plus,29650865.91249593,39042191.7844607,25655362.50464757,14231636.140061697,15980147.544420877,966357.5678927103,8475326.556938171,4825417.359372457,8339048.550075531,11831308.721407572,0,0,111851,145589,95341,53747,60828,4423,32043,18345,31165,43625,50,389211
2024,all_16plus,30540753.684263866,39852657.60240555,26308605.606789906,14320255.45190684,15845056.244719187,993787.2863413492,8449318.67695872,4922537.5686632795,8226972.941846211,11757960.081139883,0,0,113827,146237,95715,52875,59114,4567,31487,18464,30623,42542,69,384892
2025,all_16plus,30734972.140416462,40245693.70227051,26668579.190265656,14056405.578989664,15992932.680096945,971677.0193099976,8455130.453580221,4913342.263648987,7922872.818099976,11965690.233355204,0,0,112547,145283,96148,51372,58657,4432,31480,18013,29060,42934,59,380961
2026,all_16plus,31090802.183307994,40233135.10455184,27241967.6210341,14167633.476160223,16439105.68093872,978701.5392969305,8439662.987393467,5059273.2858193135,7781213.495276711,11905487.366256714,0,0,98068,124755,83627,44483,51638,3623,26608,15839,24362,36401,75,338478
1979,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23737650.22055896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327236
1980,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97983541.16506942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1372349
1981,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99484195.8588845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1548152
1982,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100417038.52031915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418214
1983,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99585712.75940466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1403899
1984,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102240752.3168524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390870
1985,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105934251.75637674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375200
1986,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107794266.80611007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370459
1987,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110308036.82801437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1347869
1988,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113205124.34429741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349832
1989,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115722803.64595985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267538
1990,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117905730.7168382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330270
1991,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118460393.69781747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361357
1992,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117776557.54022916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343852
1993,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118880139.05278015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1323030
1994,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121028008.39466794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299191
1995,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123904063.8097852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1268606
1996,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125196184.38590972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208440
1997,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127587923.35545795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112918
1998,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130262921.24430592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114126
1999,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132026979.62193489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1118314
2000,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134419650.68889365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126640
2001,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137178671.00652632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112295
2002,all_16plus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136538877.56880632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253473
2003,all_grads,1795500.4409166973,2468293.230339686,449987.1928838094,878250.0888621012,627273.976931254,8130.018882751462,90131.60517247517,74032.35422770183,130587.02524693806,115975.64199002583,0,19751070.86127345,11126,15421,2765,5295,4147,71,618,487,811,776,2,169613
2004,all_grads,7208587.743490219,9930339.48852984,1862927.0506216686,3566943.8353157043,2672768.399573008,48484.938634236656,413036.5861002604,306714.8742980957,583062.2670599619,500615.7317428589,0,0,43605,60947,11572,21254,16734,389,2698,1859,3596,3073,28,45511
2005,all_grads,7294004.7419303255,9898501.582618713,1996007.8599793117,3592769.525873184,2814511.2921689353,44744.44434992473,415322.6848564148,359655.7108001709,553400.9482529958,469634.9510650635,0,0,42859,59915,11875,20878,16903,392,2778,2100,3331,2790,11,45891
2006,all_grads,7411087.500049591,10123952.141648611,2060978.8407526016,3643881.2045822144,2873996.785533905,51321.779202779144,515822.1575915019,362462.30371983844,536378.0786371231,495552.79944483435,0,0,43291,59793,12173,20645,16762,427,3153,2037,3195,2833,31,46136
2007,all_grads,7884581.939339955,10441841.56561025,2195887.2699305215,3723852.2606531777,2867309.656845093,50091.18561935425,546809.3394203186,407070.42534891766,557479.5115483602,520135.53500493366,0,0,44870,59791,12587,20581,16616,401,3229,2192,3260,3001,12,46248
2008,all_grads,8142163.036855062,11035893.952599844,2246927.819352468,3769936.104962667,2954099.1865730286,38904.63164901734,507128.94090525305,393372.66858673096,634946.6312726339,536877.2710647583,0,0,45290,62146,12716,20529,16862,335,3043,2088,3493,2997,16,47573
2009,all_grads,8117003.886164348,11171733.917268118,2393353.43819046,3709398.3219833374,2914881.422855377,43376.34404500325,474792.2840461731,390608.5681012472,554193.2012379965,575619.9843406677,0,0,45899,63029,13293,20253,16752,329,2937,2067,3216,3272,13,48207
2010,all_grads,8012460.932679494,10989383.015886942,2527624.170706431,3567959.579853058,3006127.5759569802,48638.663857777916,440539.1387036641,421463.568417867,509725.0152244568,528700.2091089884,0,0,46077,63883,14593,20267,17872,389,2798,2269,3085,3107,14,49936
2011,all_grads,7878468.423291524,10962114.565282186,2517253.283592224,3685755.268447876,3165758.793042501,49413.8787282308,411895.84058380127,379499.6416600545,536195.1709289551,565648.8713391622,0,0,45115,62847,14774,20229,18782,397,2650,2127,3112,3248,17,51826
2012,all_grads,8321766.900651296,10938838.515061697,2587394.4416262307,3645401.264046987,3088426.945643107,51841.23277028402,436099.7679341634,348667.09695180255,589583.8017489115,596058.7692896525,0,0,46616,62175,14797,19608,18002,402,2656,2008,3393,3414,30,53652
2013,all_grads,8754926.891544342,11332722.358146667,2731094.8473765054,3597529.3391431174,3213151.2967071533,63395.38921864828,429035.1683603923,375996.0279261271,627954.9783999125,646176.9908014933,0,0,48233,62995,15198,19290,18206,446,2566,2069,3506,3544,25,55438
2014,all_grads,8856023.781669617,11546692.234934488,2732938.7152150474,3828427.7237459817,3374847.7259508767,60827.95020548503,439035.23932266235,425091.18133290607,622630.4339345297,676295.6649144491,0,0,48420,62244,14973,19921,18351,453,2538,2184,3374,3626,34,56777
2015,all_grads,9132968.47445933,11898738.68224462,2858095.1219355264,3876601.303663254,3349162.4876003265,63514.51044972737,465474.5926678975,370188.7110900879,666450.2286529541,714349.8460693359,0,0,48174,63018,15164,20017,17977,442,2571,1977,3598,3749,25,58554
