occ18,occ18_label,mocc03,mocc03_label,pca_score,share_grads_22_27,share_noncollege_22_27,share_all_grads,share_all_16plus,wgt_grads_22_27,wgt_noncollege_22_27,wgt_all_grads,wgt_all_16plus
10,Chief Executives,1,"Management, business, and financial occupations",1.825591849,0.0022459556472533625,8.618442326534381e-4,0.019430835057233743,0.011524512788620118,604648.4854125977,471705.4633483887,36411417.262542725,83551502.87277222
20,General and Operations Managers,1,"Management, business, and financial occupations",0.450730526,0.006201792424054738,0.0044880629481629224,0.012460918438839147,0.008767547928326083,1669625.3110046387,2456411.1846313477,23350499.317947388,63563798.25827026
40,Advertising and Promotions Managers,1,"Management, business, and financial occupations",1.818391404,0.0011397172092367535,2.355234125237687e-5,0.0010140727664658335,3.665765686695455e-4,306830.76275634766,12890.69140625,1900269.67578125,2657641.4805603027
51,Marketing Managers,1,"Management, business, and financial occupations",2.057658812,0.010936344002079932,0.0010536329606640046,0.009341059713812468,0.003906970783589388,2944245.0677490234,576675.46533203125,17504199.995117188,28325126.331695557
52,Sales Managers,1,"Management, business, and financial occupations",1.262269745,0.0028559690505459774,0.001168964384945455,0.007080764502032712,0.0036179500929628306,768874.2041320801,639798.7779541016,13268635.653686523,26229756.79147339
60,Public Relations and Fundraising Managers,1,"Management, business, and financial occupations",0.248631912,0.0013673317915089906,9.006161969015686e-5,0.0019171241482275547,8.629076715683885e-4,368108.380859375,49292.61743164063,3592496.5190429688,6255989.656341553
101,Administrative Services Managers,1,"Management, business, and financial occupations",1.280943754,5.273711311373908e-4,1.2133883381663334e-4,7.28820218592531e-4,5.651294027306572e-4,141977.04931640625,66411.29412841797,1365735.286743164,4097128.5972595215
102,Facilities Managers,1,"Management, business, and financial occupations",-0.846850974,7.653614046224038e-5,2.6219308423261446e-4,8.959427031611561e-4,8.98009961133948e-4,20604.79754638672,143503.78594970703,1678905.8994140625,6510477.555419922
110,Computer and Information Systems Managers,1,"Management, business, and financial occupations",2.481118175,0.0030221390348508935,3.9665390194279683e-4,0.008798578130682461,0.004740676856245824,813609.9180603027,217097.01766967773,16487644.441925049,34369407.47418213
120,Financial Managers,1,"Management, business, and financial occupations",1.521744972,0.008078721403048586,0.0026704143164474115,0.016335953904908197,0.009192284102724144,2174925.700958252,1461573.8839416504,30611923.381637573,66643090.74952698
135,Compensation and Benefits Managers,1,"Management, business, and financial occupations",1.547659085,9.641603963155157e-5,9.666864142310577e-6,2.0316045208831844e-4,1.0554030519628115e-4,25956.79589843751,5290.8779296875,380702.11447143555,765156.0872497559
136,Human Resources Managers,1,"Management, business, and financial occupations",1.62574684,0.0010221979018317227,4.0640685156773283e-4,0.0034995479419642084,0.0020239586193400217,275192.61740112305,222435.01199340823,6557798.466705322,14673486.636688232
137,Training and Development Managers,1,"Management, business, and financial occupations",2.169227889,0.00046961834174339046,1.9179301106874198e-4,5.704977631032576e-4,4.084022304228875e-4,126429.04119873047,104972.34619140625,1069055.0374450684,2960873.1192626953
140,Industrial Production Managers,1,"Management, business, and financial occupations",0.210648765,6.413635860277785e-4,7.936150672395646e-4,0.0025711727591636877,0.001956751774433584,172665.70751953125,434362.20703125,4818117.384674072,14186244.095657349
150,Purchasing Managers,1,"Management, business, and financial occupations",1.913313945,0.001043500745225977,3.063145560253858e-4,0.0025946399425221096,0.0014907094530295817,280927.69592285156,167652.39483642575,4862092.509918213,10807486.392852783
160,"Transportation, Storage, and Distribution Managers",1,"Management, business, and financial occupations",1.839452656,0.001924039889364783,0.0014660349590560513,0.0025059358930701017,0.002533982750557197,517983.4278564453,802391.7471923828,4695870.103729248,18371107.82434082
205,"Farmers, Ranchers, and Other Agricultural Managers",1,"Management, business, and financial occupations",-0.862630198,0.0015695557152081154,0.0026911174317419415,0.0048582077557628115,0.00562012423374699,422550.4128417969,1472905.1340942383,9103789.375091553,40745308.25502014
220,Construction Managers,1,"Management, business, and financial occupations",0.530061396,0.006333631580322546,0.003866229741476482,0.008571446924142481,0.007624460536893306,1705118.5970153809,2116068.800506592,16062023.560974121,55276535.167770386
230,Education and Childcare Administrators,1,"Management, business, and financial occupations",1.167728662,0.00403663346422327,0.0015381833113859826,0.006095525801809822,0.006742035020875583,1086728.6329956055,841880.0568847657,11422398.098205566,48879043.196624756
300,Architectural and Engineering Managers,1,"Management, business, and financial occupations",1.390623275,4.4998983831854916e-4,4.3434780949166674e-5,0.002362693440185557,0.001306386282189849,121144.72274780273,23772.7685546875,4427448.252258301,9471162.834503174
310,Food Service Managers,1,"Management, business, and financial occupations",-0.124384265,0.004644560317580699,0.01124343576276467,0.00603877327724733,0.007701279556031636,1250392.6178894043,6153768.714996338,11316049.614135742,55833464.958724976
335,Entertainment and Recreation Managers,1,"Management, business, and financial occupations",-0.103564108,8.754122132867063e-4,3.6157677170609476e-4,6.926418881795457e-4,4.809126206428091e-4,235675.47717285156,197898.56701660156,1297940.7590942383,3486565.804748535
340,Lodging Managers,1,"Management, business, and financial occupations",0.705561983,6.797596773257827e-4,5.760594234406947e-4,0.0011156160223177098,8.162365645313287e-4,183002.57168579102,315289.43045043945,2090551.4546203613,5917629.050109863
350,Medical and Health Services Managers,1,"Management, business, and financial occupations",1.091734123,0.003039300876877616,0.0013537280182428831,0.006933856500552293,0.00545978478714918,818230.1703796387,740923.7979431152,12993344.935333252,39582864.16920471
360,Natural Sciences Managers,1,"Management, business, and financial occupations",1.843286944,8.467832373178513e-4,4.9311579039288824e-5,3.5949122993951467e-4,2.7737355332438656e-4,227968.08233642578,26989.263671875004,673650.1615600586,2010929.02255249
