split_id,term,estimate,std.error,statistic,p.value,year
sample.var: year; sample: 1979,educ::4,15.351509665206864,0.006359320355406687,22.45741341148848,8.069408449607635e-111,1979
sample.var: year; sample: 1980,educ::4,17.176311800561873,0.005925592736807984,26.749991101990176,3.9556768048661044e-156,1980
sample.var: year; sample: 1981,educ::4,18.897889239558864,0.006277592350030674,27.573447828217283,1.5350600925856297e-165,1981
sample.var: year; sample: 1982,educ::4,22.27683429142635,0.006774309726661881,29.68825309158039,4.429513782963106e-191,1982
sample.var: year; sample: 1983,educ::4,23.725174695105935,0.006850093125172839,31.07878724004334,6.752458860305793e-209,1983
sample.var: year; sample: 1984,educ::4,27.24384915914555,0.0067245676632130685,35.829088749526015,9.98704400188878e-276,1984
sample.var: year; sample: 1985,educ::4,31.881800800876327,0.006739348267158041,41.06270754921041,0,1985
sample.var: year; sample: 1986,educ::4,32.9002754889751,0.0068205727214692745,41.70160839102391,0,1986
sample.var: year; sample: 1987,educ::4,34.68466524592782,0.006958496931372552,42.791719264546536,0,1987
sample.var: year; sample: 1988,educ::4,34.97882982230711,0.00729418451307045,41.121493908588164,0,1988
sample.var: year; sample: 1989,educ::4,38.04864672457056,0.0071799939630133374,44.90755162316981,0,1989
sample.var: year; sample: 1990,educ::4,40.39938418903264,0.007076766838835135,47.94857979690805,0,1990
sample.var: year; sample: 1991,educ::4,35.407510661965944,0.007230468966450248,41.92240427766957,0,1991
sample.var: year; sample: 1992,educ::4,33.76347416674326,0.00735679928077973,39.542051515195,0,1992
sample.var: year; sample: 1993,educ::4,36.4253222786159,0.007606807747375566,40.832790798749,0,1993
sample.var: year; sample: 1994,educ::4,34.46228886289189,0.007847734479889209,37.732366493439024,1.047098700328064e-302,1994
sample.var: year; sample: 1995,educ::4,34.661509619180485,0.007962434030148069,37.37476587408168,6.197784353761873e-297,1995
sample.var: year; sample: 1996,educ::4,35.090579598180916,0.008196333017390783,36.69632832214955,1.4011961466613486e-285,1996
sample.var: year; sample: 1997,educ::4,37.62153200925149,0.00823141505061691,38.794934762822365,1.146487e-317,1997
sample.var: year; sample: 1998,educ::4,42.91589687596677,0.00851780425481586,41.92232256534177,0,1998
sample.var: year; sample: 1999,educ::4,42.48752030890135,0.008534359226590594,41.489258151060724,0,1999
sample.var: year; sample: 2000,educ::4,44.08430457212735,0.008741912374733539,41.77900384279774,0,2000
sample.var: year; sample: 2001,educ::4,45.18251659984127,0.008662997526186857,43.03608525038425,0,2001
sample.var: year; sample: 2002,educ::4,42.463103881852064,0.008513738406891078,41.56961879181033,0,2002
sample.var: year; sample: 2003,educ::4,37.66584372700586,0.008621187993324782,37.07831690534267,6.996813339528567e-292,2003
sample.var: year; sample: 2004,educ::4,37.77181237737648,0.008534284433050885,37.54604145082291,6.649810815602894e-299,2004
sample.var: year; sample: 2005,educ::4,39.91166108574882,0.008609675842320572,39.00739718519444,5.63e-322,2005
sample.var: year; sample: 2006,educ::4,44.07321253746061,0.008587032223830839,42.52358617820347,0,2006
sample.var: year; sample: 2007,educ::4,46.121534869739264,0.008537513536766034,44.423767930018826,0,2007
sample.var: year; sample: 2008,educ::4,44.52202598434665,0.008652648612093406,42.560579472856006,0,2008
sample.var: year; sample: 2009,educ::4,41.9425420794443,0.008884370991757042,39.423405079398876,0,2009
sample.var: year; sample: 2010,educ::4,40.94699457817097,0.00885142052950606,38.77498618339973,1.879588e-317,2010
sample.var: year; sample: 2011,educ::4,42.75978120877466,0.008938424140549175,39.82728660603584,0,2011
sample.var: year; sample: 2012,educ::4,41.22688987724106,0.008961697253057649,38.51921677518197,3.98813254077e-313,2012
sample.var: year; sample: 2013,educ::4,46.14807901411346,0.008921083041437392,42.53409140871594,0,2013
sample.var: year; sample: 2014,educ::4,45.210722671805684,0.008872102787881093,42.043669938934336,0,2014
sample.var: year; sample: 2015,educ::4,49.71126733196376,0.008997780277341057,44.848657807298046,0,2015
sample.var: year; sample: 2016,educ::4,49.82076437494989,0.00884334915959679,45.714523104096095,0,2016
sample.var: year; sample: 2017,educ::4,46.55209420515065,0.008784347400343713,43.51043437675418,0,2017
sample.var: year; sample: 2018,educ::4,45.90248036511,0.008952012201952774,42.19925769985005,0,2018
sample.var: year; sample: 2019,educ::4,48.3860287628691,0.009206689406558166,42.865244724049035,0,2019
sample.var: year; sample: 2020,educ::4,50.587907738329044,0.010111437081852543,40.486513335132514,0,2020
sample.var: year; sample: 2021,educ::4,42.5122083631853,0.009876220528736369,35.86974204800884,1.3837458723942152e-270,2021
sample.var: year; sample: 2022,educ::4,43.71562179678197,0.010052454983650183,36.077387360561886,4.195976988469381e-273,2022
sample.var: year; sample: 2023,educ::4,39.2245207487266,0.009965961268107433,33.20479503184995,6.477213759956437e-233,2023
sample.var: year; sample: 2024,educ::4,42.80186817377762,0.009600859940775313,37.11000352875364,8.774689805263317e-288,2024
sample.var: year; sample: 2025,educ::4,40.04745683268911,0.010510253149657827,32.04596043137918,1.8335518321119195e-216,2025
sample.var: year; sample: 2026,educ::4,48.151962012762354,0.02021485029268879,19.444533383784478,1.5153158817090333e-79,2026
