"date","epop","unemp","employment","labor_force","idled","population"
1979-11-01,0.550496679123939,0.0278323336640029,11395470.3342493,11721712.960479,0,20700343.4650761
1979-12-01,0.550361100905316,0.0278034170605839,11399336.0098708,11725340.54317,0,20712466.7624938
1980-01-01,0.549018134357393,0.0283623189268323,11409402.5414394,11742445.5264413,0,20781467.546229
1980-02-01,0.548600624237552,0.0282751774271833,11438812.3887313,11771658.1104155,0,20850892.0394122
1980-03-01,0.548104500469474,0.0282635596389019,11466334.0930907,11799839.5622889,0,20919978.0028613
1980-04-01,0.547861851298472,0.0287896476018858,11498700.1402995,11839556.808581,0,20988320.5283353
1980-05-01,0.547268254274248,0.0293460153016092,11523630.7184715,11872027.4167032,0,21056640.1914787
1980-06-01,0.546635771652731,0.0298714703840257,11547524.7484239,11903087.4733629,0,21124714.7502082
1980-07-01,0.546002725267527,0.0301640728968783,11570575.2004321,11930446.0446142,0,21191423.897679
1980-08-01,0.54523654012372,0.0306478432050398,11590424.6981223,11956877.1956361,0,21257608.1116873
1980-09-01,0.543868954584939,0.0314508754198775,11596747.0160821,11973318.360191,0,21322686.1329718
1980-10-01,0.542453450012125,0.0319801567378278,11601075.7479798,11984336.7145087,0,21386306.5074441
1980-11-01,0.541048756740202,0.0326315571584323,11605366.8392785,11996842.4907357,0,21449761.5874777
1980-12-01,0.539608690854938,0.033407200346259,11608834.0212393,12010056.3809268,0,21513430.4135218
1981-01-01,0.538770543351406,0.0337415328663496,11601147.8747408,12006257.4035236,0,21532632.059979
1981-02-01,0.537487511312318,0.0346840203035461,11583023.6274559,11999204.2720542,0,21550312.1164155
1981-03-01,0.537009551015993,0.0355150023266878,11581584.1455366,12008050.0717746,0,21566812.217073
1981-04-01,0.536677198057616,0.0355221913162371,11583502.5064141,12010128.5919914,0,21583742.6079178
1981-05-01,0.536398101124154,0.0356087066807933,11586635.2320569,12014454.4152597,0,21600813.2910506
1981-06-01,0.536006922572662,0.0355879114961246,11586545.7287566,12014102.5469011,0,21616410.6111631
1981-07-01,0.535294543181569,0.0358577899008665,11580047.5586268,12010725.6350037,0,21633038.6814702
1981-08-01,0.534146042765209,0.0360350733755513,11563366.7899375,11995630.2045442,0,21648324.3610218
1981-09-01,0.533228594393463,0.0362107020650032,11551245.3302129,11985239.2581682,0,21662839.2619346
1981-10-01,0.532308759362893,0.0363940712338716,11539410.7317789,11975238.4115723,0,21678040.2892302
1981-11-01,0.531636436612125,0.0365587096934473,11532803.5496211,11970426.9120037,0,21693026.9548761
1981-12-01,0.5311813513234,0.0370272933333381,11530865.2533294,11974238.9098894,0,21707963.2494648
1982-01-01,0.530300736156498,0.0379385488682272,11520568.0803097,11974877.5577245,0,21724593.7914554
1982-02-01,0.528958946006678,0.0389585918444132,11500427.6913614,11966630.7754968,0,21741626.2229474
1982-03-01,0.527750593562835,0.0401628313089786,11483492.293292,11964000.424106,0,21759316.6798112
1982-04-01,0.526569530644079,0.041792852085924,11466893.3803911,11967029.68179,0,21776598.7454027
1982-05-01,0.525567120085634,0.0430805677961231,11453680.0701256,11969325.4046965,0,21792992.0506811
1982-06-01,0.524677682735417,0.0449426232798098,11443289.5490328,11981782.2760878,0,21810132.0593112
1982-07-01,0.523994961501146,0.0463808818038143,11437124.5006116,11993388.4318988,0,21826783.3489208
1982-08-01,0.523672876458017,0.0475798914361364,11439169.2123523,12010633.8678645,0,21844112.4728929
