year_new,tech_emp_all,sample_all,tech_emp_grads_22_27,sample_grads.x,tech_emp_all_grads,sample_grads.y,tech_emp_22_27,sample_grads
1979,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0
2020,1987187.911430359,7887,140360.81758880615,469,927440.8927434286,3590,236333.84096018475,797
2021,7894088.289194743,28536,576777.8533248901,1774,3722302.634147644,13119,941459.6861877441,2948
2022,8224105.098678589,29521,566070.7533874512,1848,3788370.858772278,13271,946623.0394261678,3104
2023,8738110.7216746,29766,623250.8051172892,1970,4039535.7782910666,13552,1004291.2296396891,3212
2024,8758692.873625437,29659,615294.5881856283,1898,4094125.4201774597,13626,1006145.1456960043,3072
2025,8769314.872492472,28847,624295.5116386414,1908,4132728.4069506326,13332,969074.1628430685,2968
2026,9106008.678601352,25219,634047.5387767445,1543,4220290.752734098,11442,969299.6592296254,2379
