year_new,group,average_wage_mar26,median_wage_mar26,low_wage_mar26
1979,all,24.472198358257153,22.34468058197586,13.325696099795886
1980,all,23.831547818857103,21.977082432631345,12.903987594035886
1981,all,23.810734374724845,21.862851763490006,12.768158462643017
1982,all,23.66019802418925,21.65124576376759,12.54070090571285
1983,all,23.86339768766529,21.67147327724035,12.17462371127377
1984,all,23.92649073823336,21.558267182132003,11.77359071385215
1985,all,24.161649333383078,21.658151230835834,11.629688777827598
1986,all,24.37267519693985,21.897512807206326,11.691895972341802
1987,all,24.78586782619598,22.44792986259181,12.01571962982998
1988,all,25.1676969160369,23.016121467485828,12.247512278869603
1989,all,25.387507898415052,23.15283174663786,12.374633285010464
1990,all,25.535093524156867,23.454782350382125,12.38527703631592
1991,all,25.482058989018476,23.383526316986867,12.442335592489053
1992,all,25.040545729705322,22.977709039540517,12.312752603423071
1993,all,24.474000630948296,22.275174962092944,12.007845122598624
1994,all,24.099163109817592,21.780344852501727,11.846908517779289
1995,all,23.836031858942874,21.402587594851205,11.689184068896008
1996,all,23.747169262298087,21.350749276116854,11.755078522838625
1997,all,23.626899747493614,21.439269003278486,11.66982042678592
1998,all,24.06071448150536,22.081755605350413,11.880995254599142
1999,all,24.860121300209553,22.73475503622449,12.263541131338652
2000,all,25.945548583642573,23.45883869271628,12.86790412354754
2001,all,27.03895631579763,24.341261684815123,13.51888354954584
2002,all,27.980286206856928,25.076714478978694,13.84608070609865
2003,all,28.29763270244306,25.415940838635507,13.867671288785484
2004,all,27.95362473322142,25.155709914855507,13.664935295309865
2005,all,27.27881203280145,24.47032547231627,13.402105272104183
2006,all,27.118919886498315,24.050413962154053,13.142125149909345
2007,all,27.442843599455394,24.108997096991185,13.19057002192887
2008,all,27.81579616095236,24.30716019809146,13.412028479463846
2009,all,27.853389756112364,24.460254668713272,13.558445024088764
2010,all,27.656519373270047,24.38417720904452,13.37972389447021
2011,all,27.240617349854606,24.093357686083447,13.083345389621554
2012,all,26.76696749718514,23.565235211956693,12.7360378819095
2013,all,26.414556462524054,23.01930320963454,12.607158581358085
2014,all,26.287754494314072,22.75230802477212,12.488687840601756
2015,all,26.689732860798447,22.852187815398437,12.59197207935804
2016,all,27.48748302187332,23.364734712526705,12.754466146861434
2017,all,28.35519345887691,23.973878309316305,13.059662075552612
2018,all,28.873865492919553,24.659806654083283,13.347339771526087
2019,all,29.33233214568012,25.044315497220364,13.786759117273816
2020,all,30.26452591623877,25.51559442175504,14.204524551907328
2021,all,31.62430188646132,26.295604600557716,14.88735133727374
2022,all,32.39722842282443,26.6764815321544,15.22882934482996
2023,all,32.85241526541742,26.85935889362151,15.578775623476453
2024,all,32.54690374195104,26.541384978972342,15.625738109692525
2025,all,32.72758703307098,26.756732936587788,15.91242621979395
2026,all,32.5423616686743,26.87049234171197,16.05132693171916
2027,all,32.71735597612779,27.20087661496754,16.19172972720922
2028,all,32.59582809429291,27.23551305387251,16.162715169448845
1989,asian,27.852221459646362,27.733875481730138,16.169249004758484
1990,asian,27.442151547543382,25.966539138582434,13.698303113085487
1991,asian,26.83853690253673,24.251468036949554,12.595988377631176
1992,asian,26.411808691407682,23.710834335615395,11.79168752519641
1993,asian,25.592795506345244,22.728847428132152,11.270275717672048
1994,asian,25.62345621381888,23.176333803218185,11.169123242171397
1995,asian,25.781061765020702,23.266247831339932,11.458018608767393
1996,asian,26.153337148793565,24.022457362819747,11.778338821076238
1997,asian,26.163983961990642,24.153129814539295,11.85245801931951
1998,asian,27.00194422707165,25.283546891355922,12.13978383476046
1999,asian,27.910444734751298,25.686176976838638,12.840203207643777
2000,asian,29.875516401941887,27.004699181657116,13.708924951099604
2001,asian,30.92525345867257,27.369912291708065,14.183366851767135
2002,asian,32.1116518498445,28.722592211463105,14.601598517109107
2003,asian,30.98950266937114,28.00546770920528,14.033905267175042
2004,asian,29.867811299771347,26.43352272981404,13.79713448203174
2005,asian,28.445717217379915,24.750221124046174,13.119823079886078
2006,asian,29.42728670055304,24.735100642497656,13.304708356698175
2007,asian,30.35327778497982,25.576257985351774,13.944513971002374
2008,asian,30.922347724834104,26.63445113642037,14.883874134872194
2009,asian,30.91090608290708,27.499094034738437,14.978721242053274
2010,asian,30.736378182867632,28.275365272265166,14.334142605415218
2011,asian,30.1287570046702,27.693789137654466,13.695878912485806
2012,asian,28.955326733086146,26.609334826628483,13.19657180390615
2013,asian,29.528550965026767,25.90490077007798,13.383328207656476
2014,asian,29.855550542627103,25.538180973942122,12.965419746690905
2015,asian,30.244264153693326,25.193606872008058,12.831068506944932
2016,asian,30.293529455713998,25.017004216196398,12.759375082271852
2017,asian,31.487546472034758,25.57313531439171,12.989216844159628
2018,asian,32.3653464866054,26.23872495458223,13.407527008672655
2019,asian,33.61935172391113,26.792363080490016,13.942066191260949
2020,asian,34.56532444179793,27.910293941630304,15.136548957133291
2021,asian,37.27669453843968,29.643240340965164,15.672446825485242
2022,asian,38.270389172726006,30.15085518038021,16.22313188323833
2023,asian,38.76092514874026,30.03914013929617,16.089209531879845
2024,asian,38.31392063716468,29.97524037528176,16.40543287049516
2025,asian,37.86510870676233,30.412992488932254,16.343989652173253
2026,asian,37.41315084626952,30.247782797957424,16.467797899983367
2027,asian,36.56762815426021,29.788523903339907,16.353307892684057
2028,asian,36.11772752211396,29.459541832817823,16.374594821808333
1989,black,23.680118562627424,21.097415824307586,14.606741206244372
1990,black,23.431099352653355,21.360734815267573,11.785066807580671
1991,black,23.43679673315638,21.501536682054248,11.669197022663775
1992,black,23.305415326021038,21.43176588797285,11.768871044170956
1993,black,22.991246739854564,20.89013942494323,11.626417820488864
1994,black,23.02312664557681,20.818522437710286,12.155338941495247
1995,black,22.97706555130516,20.424705734126363,12.081630924260653
1996,black,23.331052248437913,20.620685269967968,12.895998805131656
1997,black,22.516018632900682,19.81605472563951,12.256852671983898
1998,black,23.064074526165466,20.14911631563122,12.170583165387045
1999,black,23.452658525947346,21.05927162390529,12.143010977077664
2000,black,24.94040250866824,22.218502384150657,13.025228934694539
2001,black,25.81184173068578,23.339929106825807,13.450118889567907
2002,black,26.877069712566442,24.565955021487135,13.814982756610968
2003,black,27.46367687316086,25.0221963760661,13.640439505947107
2004,black,27.351186621996415,24.92964234787154,13.873713430862786
2005,black,27.26135548834642,23.952642518098145,13.72461792478776
2006,black,26.979924355242723,23.423253509575407,13.31378660493386
2007,black,26.857083934268896,23.329820359032986,12.817460082823068
2008,black,26.88158285903753,23.452512429317505,12.792057578069317
2009,black,26.2872502156006,23.15059260767393,12.91965616311164
2010,black,26.03372273989497,22.66889068480574,12.852817606804711
2011,black,25.202127771948497,21.814605755540356,12.382786493717498
2012,black,24.78071545435881,21.66788125856013,12.231963141010143
2013,black,24.098434286449884,21.06942518656012,12.192749365429888
2014,black,23.353198922934812,20.716309048185238,11.688911122052959
2015,black,24.18276564662054,20.7188166375043,11.651665011740585
2016,black,24.619698754049676,20.875979666039026,11.728874785886598
2017,black,25.0352976369233,21.303103965109344,12.160763185688683
2018,black,24.70968623475154,21.228326262054708,12.164046358911087
