year_new,group,average_wage_mar26,median_wage_mar26
1989,asian,27.852221459646362,27.733875481730138
1990,asian,27.442151547543382,25.966539138582434
1991,asian,26.83853690253673,24.251468036949554
1992,asian,26.411808691407682,23.710834335615395
1993,asian,25.592795506345244,22.728847428132152
1994,asian,25.62345621381888,23.176333803218185
1995,asian,25.781061765020702,23.266247831339932
1996,asian,26.153337148793565,24.022457362819747
1997,asian,26.163983961990642,24.153129814539295
1998,asian,27.00194422707165,25.283546891355922
1999,asian,27.910444734751298,25.686176976838638
2000,asian,29.875516401941887,27.004699181657116
2001,asian,30.92525345867257,27.369912291708065
2002,asian,32.1116518498445,28.722592211463105
2003,asian,30.98950266937114,28.00546770920528
2004,asian,29.867811299771347,26.43352272981404
2005,asian,28.445717217379915,24.750221124046174
2006,asian,29.42728670055304,24.735100642497656
2007,asian,30.35327778497982,25.576257985351774
2008,asian,30.922347724834104,26.63445113642037
2009,asian,30.91090608290708,27.499094034738437
2010,asian,30.736378182867632,28.275365272265166
2011,asian,30.1287570046702,27.693789137654466
2012,asian,28.955326733086146,26.609334826628483
2013,asian,29.528550965026767,25.90490077007798
2014,asian,29.855550542627103,25.538180973942122
2015,asian,30.244264153693326,25.193606872008058
2016,asian,30.293529455713998,25.017004216196398
2017,asian,31.487546472034758,25.57313531439171
2018,asian,32.3653464866054,26.23872495458223
2019,asian,33.61935172391113,26.792363080490016
2020,asian,34.56532444179793,27.910293941630304
2021,asian,37.27669453843968,29.643240340965164
2022,asian,38.270389172726006,30.15085518038021
2023,asian,38.76092514874026,30.03914013929617
2024,asian,38.31392063716468,29.97524037528176
2025,asian,37.86510870676233,30.412992488932254
2026,asian,37.41315084626952,30.247782797957424
2027,asian,36.56762815426021,29.788523903339907
2028,asian,36.11772752211396,29.459541832817823
1989,black,23.680118562627424,21.097415824307586
1990,black,23.431099352653355,21.360734815267573
1991,black,23.43679673315638,21.501536682054248
1992,black,23.305415326021038,21.43176588797285
1993,black,22.991246739854564,20.89013942494323
1994,black,23.02312664557681,20.818522437710286
1995,black,22.97706555130516,20.424705734126363
1996,black,23.331052248437913,20.620685269967968
1997,black,22.516018632900682,19.81605472563951
1998,black,23.064074526165466,20.14911631563122
1999,black,23.452658525947346,21.05927162390529
2000,black,24.94040250866824,22.218502384150657
2001,black,25.81184173068578,23.339929106825807
2002,black,26.877069712566442,24.565955021487135
2003,black,27.46367687316086,25.0221963760661
2004,black,27.351186621996415,24.92964234787154
2005,black,27.26135548834642,23.952642518098145
2006,black,26.979924355242723,23.423253509575407
2007,black,26.857083934268896,23.329820359032986
2008,black,26.88158285903753,23.452512429317505
2009,black,26.2872502156006,23.15059260767393
2010,black,26.03372273989497,22.66889068480574
2011,black,25.202127771948497,21.814605755540356
2012,black,24.78071545435881,21.66788125856013
2013,black,24.098434286449884,21.06942518656012
2014,black,23.353198922934812,20.716309048185238
2015,black,24.18276564662054,20.7188166375043
2016,black,24.619698754049676,20.875979666039026
2017,black,25.0352976369233,21.303103965109344
2018,black,24.70968623475154,21.228326262054708
2019,black,25.363213725540245,21.733086753093225
2020,black,26.547810227315594,22.2866477786876
2021,black,28.223358289656073,23.25408344093175
2022,black,28.883378729728324,23.2648091511912
2023,black,29.744508664194267,23.445531615920835
2024,black,29.390855220981024,23.338827070846275
2025,black,29.88550126850056,24.258765069556055
2026,black,30.51329139482192,24.883365927254435
2027,black,31.36039489596835,25.476620269621804
2028,black,32.56757405064605,26.122102240303697
1979,female,21.75024366762451,20.695580860783622
1980,female,21.40270420814764,20.108719245418882
1981,female,21.298881720429875,19.98403112720486
1982,female,21.24883345284455,19.84778826074124
1983,female,21.47906366055722,19.886107363011615
1984,female,21.67953102480964,19.934049698099713
1985,female,21.872533002291167,20.041233036716193
1986,female,22.160389633501303,20.390082193490095
1987,female,22.569367259384745,20.825638303654863
1988,female,23.08952825711226,21.46133574360288
1989,female,23.38846953975727,21.851324453663707
1990,female,23.850327805497738,22.35017584603133
1991,female,23.985173496109155,22.33916145353961
1992,female,23.749298037236343,22.115425178796563
1993,female,23.22394518456549,21.468827406570107
1994,female,22.90262372280856,21.083234593603844
1995,female,22.695003748246666,20.76076447161433
1996,female,22.66440640311489,20.656259997671654
1997,female,22.553506225398053,20.563056581909706
1998,female,22.85834732468795,21.07877210209761
1999,female,23.577287077772603,21.826863963613814
2000,female,24.476525013928192,22.565124138520236
2001,female,25.360254794177965,23.144281746536848
2002,female,26.014214265223455,23.711018144546095
2003,female,26.351701631211903,24.03171660275771
2004,female,26.25491235013417,24.060157547695923
2005,female,25.750906351378664,23.51237582285856
2006,female,25.519236868221967,23.1296713456804
2007,female,25.705396105402663,23.152802662715917
2008,female,26.01083311672277,23.239132489087964
2009,female,26.137896629891472,23.32991722605976
2010,female,25.85230570448036,23.13431710511963
2011,female,25.497753139516515,22.889737203302083
2012,female,25.076441216358806,22.474680699278483
2013,female,24.858594711149152,22.098163906763023
2014,female,24.521273401271408,21.62087824696453
2015,female,24.782066056215818,21.569215155627457
2016,female,25.33779614009508,21.96356671957387
2017,female,26.13104592398337,22.50472039747108
2018,female,26.705931651884093,23.089269467911112
2019,female,27.08230736597014,23.54996865016161
2020,female,28.128169631125154,24.37091746508244
2021,female,29.352029600582785,25.14980344316333
2022,female,30.049357682721507,25.325605040206725
2023,female,30.09162138103392,25.427225567999407
2024,female,29.593310091532132,25.176884213263396
2025,female,29.995019525398572,25.472030711524656
2026,female,30.103153520230112,25.46906852688236
2027,female,30.44380454014115,25.504891730807618
2028,female,30.131522560439905,25.414635593738563
1989,hispanic,22.017217624253057,20.447492928271746
1990,hispanic,24.404228565382006,23.281727258380535
1991,hispanic,25.22469482146059,23.081447509031065
1992,hispanic,24.899756359752207,22.038855122839827
1993,hispanic,24.48905393026211,21.722750929044835
